coordinates,gene_name,fig_name,evaluation,match_name
"133,245,25,6", AKT,PMC3502787__CHRP2012-817304.002.jpg,TP,AKT
"517,243,4,9", B,PMC3502787__CHRP2012-817304.002.jpg,FP,None
"136,255,20,10",PKB,PMC3502787__CHRP2012-817304.002.jpg,FP,None
"387,263,23,7", AKT,PMC3502787__CHRP2012-817304.002.jpg,TP,AKT
"387,272,23,11",PKB,PMC3502787__CHRP2012-817304.002.jpg,FP,None
"409,305,12,9", B,PMC3502787__CHRP2012-817304.002.jpg,FP,None
"254,21,64,17", CED-12,PMC3521709__pgen.1003115.g001.jpg,TP,CED-5
"550,46,57,15",ABC1,PMC3521709__pgen.1003115.g001.jpg,TP,ABC1
"41,182,34,15",ABL,PMC3521709__pgen.1003115.g001.jpg,FP,None
"168,181,101,17",DOCK180,PMC3521709__pgen.1003115.g001.jpg,TP,DOCK180
"312,156,77,15", CED-12,PMC3521709__pgen.1003115.g001.jpg,TP,CED-5
"550,157,62,15", CED-12,PMC3521709__pgen.1003115.g001.jpg,TP,CED-5
"539,181,86,17",MEGF10,PMC3521709__pgen.1003115.g001.jpg,TP,MEGF10
"267,312,37,16",RAC,PMC3521709__pgen.1003115.g001.jpg,FP,None
"550,287,64,16", CED-6,PMC3521709__pgen.1003115.g001.jpg,TP,CED-5
"553,312,59,16",GULP,PMC3521709__pgen.1003115.g001.jpg,TP,GULP
"80,426,61,15", WAVE,PMC3521709__pgen.1003115.g001.jpg,FP,None
"112,165,47,13", NF-KB1,PMC3591436__pone.0053370.g006.jpg,TP,NF-KB
"109,230,49,15", NF-KB1,PMC3591436__pone.0053370.g006.jpg,TP,NF-KB
"117,300,41,14", NF-KB1,PMC3591436__pone.0053370.g006.jpg,TP,NF-KB
"225,92,89,34", ROS,PMC3655991__pone.0064344.g007.jpg,FP,None
"350,188,64,18",MLST8,PMC3655991__pone.0064344.g007.jpg,FP,None
"277,216,106,18",TORC1,PMC3655991__pone.0064344.g007.jpg,FP,None
"256,250,64,22", RAPTOR,PMC3655991__pone.0064344.g007.jpg,FP,None
"62,361,71,19", PERK,PMC3655991__pone.0064344.g007.jpg,TP,PERK
"305,358,58,21",IRE1,PMC3655991__pone.0064344.g007.jpg,TP,IRE1
"530,362,64,18",ATF6,PMC3655991__pone.0064344.g007.jpg,TP,ATF6
"363,626,54,21",RNASE7,PMC3655991__pone.0064344.g007.jpg,FP,None
"178,701,44,17",JNK,PMC3655991__pone.0064344.g007.jpg,TP,JNK
"86,42,105,31", DLC-1,PMC3789177__cddis2013319f6.jpg,TP,DLC-1
"395,354,107,33", CEPU-1,PMC3789177__cddis2013319f6.jpg,FP,None
"140,764,113,30", CED-4,PMC3789177__cddis2013319f6.jpg,TP,CED-9
"166,113,77,25",APOER2,PMC3920964__cddis2013410f5.jpg,FP,None
"303,271,59,19",LRP1,PMC3920964__cddis2013410f5.jpg,TP,LRP1
"258,346,67,31",CYPA,PMC3920964__cddis2013410f5.jpg,TP,CYPA
"212,13,50,16",IGF1,PMC3932947__2040-2392-5-9-7.jpg,TP,IGF1
"326,13,70,17",IGF1R,PMC3932947__2040-2392-5-9-7.jpg,TP,IGF1R
"251,59,28,19", P,PMC3932947__2040-2392-5-9-7.jpg,FP,None
"318,58,24,20", P,PMC3932947__2040-2392-5-9-7.jpg,FP,None
"273,157,53,16",PI3K,PMC3932947__2040-2392-5-9-7.jpg,TP,PI3K
"56,195,20,25", P,PMC3932947__2040-2392-5-9-7.jpg,FP,None
"92,230,58,15",PDK1,PMC3932947__2040-2392-5-9-7.jpg,TP,PDK1
"484,235,51,14", AKT,PMC3932947__2040-2392-5-9-7.jpg,TP,AKT
"465,350,95,18",TORC1,PMC3932947__2040-2392-5-9-7.jpg,FP,None
"250,395,19,18", P,PMC3932947__2040-2392-5-9-7.jpg,FP,None
"335,393,26,20", P,PMC3932947__2040-2392-5-9-7.jpg,FP,None
"279,429,41,16", S6K,PMC3932947__2040-2392-5-9-7.jpg,TP,S6K
"287,558,37,15",EN2,PMC3932947__2040-2392-5-9-7.jpg,TP,En2
"660,98,37,22",PM,PMC3946494__nihms540696f6.jpg,FP,None
"438,126,36,12",PI3K,PMC3946494__nihms540696f6.jpg,TP,PI3K
"338,179,34,14", AKT,PMC3946494__nihms540696f6.jpg,TP,AKT
"422,233,22,44", NF-KB1,PMC3946494__nihms540696f6.jpg,TP,NF-KB
"323,357,13,16", PL,PMC3946494__nihms540696f6.jpg,FP,None
"392,399,48,14", NF-KB1,PMC3946494__nihms540696f6.jpg,TP,NF-KB
"321,474,8,13", 2,PMC3946494__nihms540696f6.jpg,FP,None
"394,529,60,17", NF-KB1,PMC3946494__nihms540696f6.jpg,TP,NF-KB
"396,8,77,21", DAMAGE,PMC3978517__genes-05-00147-g002.jpg,FP,None
"50,109,61,22",H2AX,PMC3978517__genes-05-00147-g002.jpg,TP,H2AX
"33,127,111,26",ANA,PMC3978517__genes-05-00147-g002.jpg,FP,None
"630,109,60,22",H2AX,PMC3978517__genes-05-00147-g002.jpg,TP,H2AX
"305,129,50,19",ATRIP,PMC3978517__genes-05-00147-g002.jpg,TP,ATRIP
"383,129,29,19",ATR,PMC3978517__genes-05-00147-g002.jpg,TP,ATR
"458,127,60,21",TOPBP1,PMC3978517__genes-05-00147-g002.jpg,TP,TopBP1
"546,127,27,21", FPC,PMC3978517__genes-05-00147-g002.jpg,TP,FPC
"484,234,59,19",CHK1,PMC3978517__genes-05-00147-g002.jpg,FP,None
"552,234,53,19", CHK2,PMC3978517__genes-05-00147-g002.jpg,FP,None
"351,584,32,18",CELL,PMC3978517__genes-05-00147-g002.jpg,FP,None
"190,149,127,34",MYD88,PMC4057701__ijms-15-07711f2.jpg,TP,MyD88
"359,230,92,40", NF-KB1,PMC4057701__ijms-15-07711f2.jpg,TP,NF-KB
"320,484,83,34", IL-1H2,PMC4057701__ijms-15-07711f2.jpg,TP,IL-12
"172,53,148,41", DAMAGE,PMC4061041__pone.0099983.g006.jpg,FP,None
"212,224,64,36",H,PMC4061041__pone.0099983.g006.jpg,FP,None
"308,229,78,33",ATM,PMC4061041__pone.0099983.g006.jpg,TP,ATM
"546,344,77,38",RS,PMC4061041__pone.0099983.g006.jpg,FP,None
"184,434,65,38",H,PMC4061041__pone.0099983.g006.jpg,FP,None
"284,441,133,32",IGF1R,PMC4061041__pone.0099983.g006.jpg,FP,None
"478,21,68,27",ACTIVIN,PMC4074601__nihms577797f8.jpg,FP,None
"541,212,83,33",SMAD2,PMC4074601__nihms577797f8.jpg,TP,SMAD2
"500,365,81,33",SMAD2,PMC4074601__nihms577797f8.jpg,TP,SMAD2
"499,618,81,37",SMAD2,PMC4074601__nihms577797f8.jpg,TP,SMAD2
"520,752,49,25", SNON,PMC4074601__nihms577797f8.jpg,TP,SNON
"722,751,50,26", SNON,PMC4074601__nihms577797f8.jpg,TP,SNON
"540,871,23,41", 2,PMC4074601__nihms577797f8.jpg,FP,None
"233,887,78,26",ACTIVIN,PMC4074601__nihms577797f8.jpg,FP,None
"614,884,59,28",CD61,PMC4074601__nihms577797f8.jpg,TP,CD61
"43,5,41,19",CTF,PMC4252843__nihms611316f5.jpg,TP,CTF
"401,59,88,19",HBEGF,PMC4252843__nihms611316f5.jpg,TP,HB-EGF
"39,127,63,19", GPCR,PMC4252843__nihms611316f5.jpg,TP,GPCR
"531,128,59,22",EGFR,PMC4252843__nihms611316f5.jpg,TP,EGFR
"73,247,39,26",GA,PMC4252843__nihms611316f5.jpg,FP,None
"262,254,49,21",CA2,PMC4252843__nihms611316f5.jpg,FP,None
"263,299,44,19", PKC,PMC4252843__nihms611316f5.jpg,FP,None
"444,62,57,16",TLR4,PMC4536527__srep13092-f8.jpg,TP,TLR4
"723,330,37,16",IL-6,PMC4536527__srep13092-f8.jpg,TP,IL-6
"493,364,54,23", HIF1,PMC4536527__srep13092-f8.jpg,TP,HIF1
"721,357,44,19",TNF,PMC4536527__srep13092-f8.jpg,TP,TNF
"770,389,8,17", B,PMC4536527__srep13092-f8.jpg,FP,None
"513,467,64,17",VEGF,PMC4536527__srep13092-f8.jpg,TP,VEGF
"318,13,31,15", NAC,PMC4826221__oncotarget-07-4490-g009.jpg,TP,NAC
"187,22,28,15",GL,PMC4826221__oncotarget-07-4490-g009.jpg,TP,GL
"355,357,56,12",CDC25C,PMC4826221__oncotarget-07-4490-g009.jpg,TP,CDC25C
"550,386,42,11",CDK1,PMC4826221__oncotarget-07-4490-g009.jpg,TP,CDK
"239,423,9,11", B,PMC4826221__oncotarget-07-4490-g009.jpg,FP,None
"609,423,8,12", B,PMC4826221__oncotarget-07-4490-g009.jpg,FP,None
"383,259,48,15",C-JUN,PMC5037850__ijms-17-01585-g001.jpg,TP,c-Jun
"303,348,53,17", AP-1,PMC5037850__ijms-17-01585-g001.jpg,TP,AP
"592,347,34,18",FAS,PMC5037850__ijms-17-01585-g001.jpg,TP,FAS
"272,719,40,19",CELL,PMC5037850__ijms-17-01585-g001.jpg,FP,None
"46,141,37,14",WIP,PMC5148706__nihms828371f2.jpg,TP,WIP
"255,140,79,14",N-WASP,PMC5148706__nihms828371f2.jpg,TP,N-WASP
"496,141,59,17",CDC42,PMC5148706__nihms828371f2.jpg,TP,CDC42
"271,385,48,14", CACTIN,PMC5148706__nihms828371f2.jpg,FP,None
"295,63,51,17", DAMAGE,PMC5238375__srep40523-f2.jpg,FP,None
"626,311,26,10", PFD,PMC5238375__srep40523-f2.jpg,TP,PFD
"20,327,27,10", PFD,PMC5238375__srep40523-f2.jpg,TP,PFD
"343,326,38,11",ACE2,PMC5238375__srep40523-f2.jpg,TP,ACE2
"257,344,30,11",ACE,PMC5238375__srep40523-f2.jpg,TP,ACE2
"486,380,43,10",LXR-A,PMC5238375__srep40523-f2.jpg,TP,LXR
"126,387,44,11",LXR-A,PMC5238375__srep40523-f2.jpg,TP,LXR
"260,452,25,14",ANG,PMC5238375__srep40523-f2.jpg,TP,ANG
"291,450,8,12", 2,PMC5238375__srep40523-f2.jpg,FP,None
"343,516,32,11",MAS,PMC5238375__srep40523-f2.jpg,TP,MAS
"336,0,77,45", SYX,PMC5241026__nihms839270f8.jpg,TP,SYX
"348,190,136,45",RHOA,PMC5241026__nihms839270f8.jpg,TP,RhoA
"12,392,135,35",RAB3D,PMC5241026__nihms839270f8.jpg,TP,RAB3D
"312,392,123,36",SIRT1,PMC5241026__nihms839270f8.jpg,TP,SIRT
"580,564,174,33",RHPN2,PMC5241026__nihms839270f8.jpg,TP,RHPN
"585,882,168,49", SMAD1,PMC5241026__nihms839270f8.jpg,FP,None
"308,954,135,39",NEURL,PMC5241026__nihms839270f8.jpg,FP,None
"322,356,66,17",AMPK,PMC5404978__nihms860625f10.jpg,TP,AMPK
"629,426,91,17",TORC1,PMC5404978__nihms860625f10.jpg,FP,None
"208,502,34,13",S164,PMC5404978__nihms860625f10.jpg,FP,None
"21,517,85,17", 14-3-3,PMC5404978__nihms860625f10.jpg,FP,None
"148,545,74,17",PIK3C3,PMC5404978__nihms860625f10.jpg,TP,PIK3C3
"50,565,68,16",ATG14,PMC5404978__nihms860625f10.jpg,TP,ATG7
"214,596,70,17",BECN1,PMC5404978__nihms860625f10.jpg,TP,BECN1
"87,608,98,17",AMBRA1,PMC5404978__nihms860625f10.jpg,TP,AMBRA1
"290,626,32,14",S14,PMC5404978__nihms860625f10.jpg,FP,None
"103,878,91,19",SQSTM1,PMC5404978__nihms860625f10.jpg,TP,SQSTM1
"438,876,55,16",ATG7,PMC5404978__nihms860625f10.jpg,TP,ATG7
"371,385,67,22", ETS-1,PMC5482458__pone.0179614.g005.jpg,TP,ETS
"561,14,39,10",NREP,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,TP,NREP
"202,96,55,10",TGFBR1,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,TP,TGFBR1
"270,90,69,19",TGFBR2,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,TP,TGFBR1
"330,152,49,11",SMAD2,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,TP,SMAD2
"331,175,49,11",SMAD3,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,TP,SMAD2
"561,206,49,11",SMAD4,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,TP,SMAD2
"118,345,40,10",HIPK2,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,TP,HIPK2
"420,384,58,10",PRDM16,PMC5541090__41598_2017_6522_Fig1_HTML.jpg,TP,PRDM16
"341,443,21,14",XS,PMC5642883__BMRI2017-9592501.008.jpg,TP,XS
"339,576,21,15",XS,PMC5642883__BMRI2017-9592501.008.jpg,TP,XS
"562,620,50,14",LCN2,PMC5642883__BMRI2017-9592501.008.jpg,TP,LCN2
"320,660,38,13",TRE,PMC5642883__BMRI2017-9592501.008.jpg,FP,None
"422,110,38,12",CTGF,PMC5788631__oncotarget-09-2175-g012.jpg,FP,None
"291,135,27,12", YAP,PMC5788631__oncotarget-09-2175-g012.jpg,TP,YAP
"405,147,68,5", PROSTEIN,PMC5788631__oncotarget-09-2175-g012.jpg,FP,None
"81,148,27,14", YAP,PMC5788631__oncotarget-09-2175-g012.jpg,TP,YAP
"30,173,52,18", 14-3-3,PMC5788631__oncotarget-09-2175-g012.jpg,FP,None
"423,237,50,6",CTGF,PMC5788631__oncotarget-09-2175-g012.jpg,FP,None
"225,268,27,11", YAP,PMC5788631__oncotarget-09-2175-g012.jpg,TP,YAP
"388,314,37,12",CTGF,PMC5788631__oncotarget-09-2175-g012.jpg,FP,None
"9,11,29,6",YWHAZ,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,FP,None
"162,11,25,6",FGFR3,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,FGFR3
"389,38,28,6",LAMA2,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,LAMA2
"466,38,21,6",GRB2,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,GRB2
"665,38,25,6",FGFR4,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,FGFR3
"741,37,23,9",PRKCI,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,PRKCI
"10,91,22,6", CDH1,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,CDH1
"87,91,20,6",HRAS,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,HRAS
"377,115,21,7",TSC2,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,TSC2
"730,115,42,10",PPP2R3A,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,PPP2R3A
"590,134,25,7",FGFR2,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,FGFR3
"358,193,20,6",PTEN,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,PTEN
"130,203,16,6",KDR,PMC5850946__12859_2018_2036_Fig5_HTML.jpg,TP,KDR
"276,253,26,13",FAK,PMC5908975__fnmol-11-00130-g0007.jpg,TP,FAK
"244,409,30,11", AKT,PMC5908975__fnmol-11-00130-g0007.jpg,TP,AKT
"535,468,50,14",MMP2,PMC5908975__fnmol-11-00130-g0007.jpg,TP,MMP2
"52,486,26,14",ERK,PMC5908975__fnmol-11-00130-g0007.jpg,TP,ERK
"534,492,51,15",MMP9,PMC5908975__fnmol-11-00130-g0007.jpg,TP,MMP2
"205,537,26,14",P53,PMC5908975__fnmol-11-00130-g0007.jpg,TP,P53
"70,581,23,18", D1,PMC5908975__fnmol-11-00130-g0007.jpg,FP,None
"337,585,32,17",P-GP,PMC5908975__fnmol-11-00130-g0007.jpg,TP,P-GP
"510,667,22,12",CELL,PMC5908975__fnmol-11-00130-g0007.jpg,FP,None
"55,12,27,11", PTCH,PMC5949124__IBJ-22-217-g001.jpg,TP,PTCH
"198,13,32,10",SMO,PMC5949124__IBJ-22-217-g001.jpg,TP,SMO
"463,14,27,11", PTCH,PMC5949124__IBJ-22-217-g001.jpg,TP,PTCH
"606,15,32,10",SMO,PMC5949124__IBJ-22-217-g001.jpg,TP,SMO
"131,158,20,10",GLI,PMC5949124__IBJ-22-217-g001.jpg,TP,GLI
"537,157,20,13",GLI,PMC5949124__IBJ-22-217-g001.jpg,TP,GLI
"657,403,7,10", B,PMC5949124__IBJ-22-217-g001.jpg,FP,None
"153,32,65,11",PDGFB,PMC5967041__12885_2018_4500_Fig4_HTML.jpg,FP,None
"519,119,50,12",CDCP1,PMC5967041__12885_2018_4500_Fig4_HTML.jpg,FP,None
"268,152,64,15",PDGFRB,PMC5967041__12885_2018_4500_Fig4_HTML.jpg,FP,None
"636,516,52,14", PROSTEIN,PMC5967041__12885_2018_4500_Fig4_HTML.jpg,FP,None
"226,36,34,10",FSHR,PMC6241696__ott-11-8107Fig4.jpg,FP,None
"222,261,46,13",GSK3B,PMC6241696__ott-11-8107Fig4.jpg,TP,GSK3B
"221,310,7,9", P,PMC6241696__ott-11-8107Fig4.jpg,FP,None
"471,376,42,9",CASP3,PMC6241696__ott-11-8107Fig4.jpg,TP,CASP3
"239,490,36,14", NF-KB1,PMC6241696__ott-11-8107Fig4.jpg,TP,NF-KB
"658,530,18,9",CELL,PMC6241696__ott-11-8107Fig4.jpg,FP,None
"406,11,13,8",IL6,PMC6307990__gr7.jpg,TP,IL6
"455,9,13,6",IL6,PMC6307990__gr7.jpg,TP,IL6
"638,22,14,6",IL6,PMC6307990__gr7.jpg,TP,IL6
"451,233,22,12",IDO1,PMC6307990__gr7.jpg,TP,IDO1
"77,288,19,7",EMT,PMC6307990__gr7.jpg,TP,EMT
"93,374,26,6", PD-L1,PMC6307990__gr7.jpg,TP,PD-L1
"339,379,26,7",IDO1,PMC6307990__gr7.jpg,TP,IDO1
"418,379,19,13",IL6,PMC6307990__gr7.jpg,TP,IL6
"421,86,40,17",PM,PMC6322368__medscimonit-24-9413-g008.jpg,FP,None
"584,145,39,13", DAG,PMC6322368__medscimonit-24-9413-g008.jpg,TP,DAG
"74,212,50,14",STIM1,PMC6322368__medscimonit-24-9413-g008.jpg,TP,STIM1
"520,187,53,12", PKC,PMC6322368__medscimonit-24-9413-g008.jpg,FP,None
"480,317,55,14", NF-KB1,PMC6322368__medscimonit-24-9413-g008.jpg,TP,NF-KB
"296,309,21,14",ER,PMC6322368__medscimonit-24-9413-g008.jpg,FP,None
"509,49,63,21",NOS1,PMC6451008__41419_2019_1542_Fig1_HTML.jpg,TP,NOS1
"515,144,58,22",PTEN,PMC6451008__41419_2019_1542_Fig1_HTML.jpg,TP,PTEN
"260,252,48,16", AKT,PMC6451008__41419_2019_1542_Fig1_HTML.jpg,TP,AKT
"246,369,71,17",MTOR,PMC6451008__41419_2019_1542_Fig1_HTML.jpg,TP,MTOR
"296,576,10,33", 2,PMC6451008__41419_2019_1542_Fig1_HTML.jpg,FP,None
"459,38,91,20",HIF1A,PMC6643126__ijmsv16p0960g005.jpg,FP,None
"559,174,25,24", P,PMC6643126__ijmsv16p0960g005.jpg,FP,None
"448,208,95,25",P70S6KB,PMC6643126__ijmsv16p0960g005.jpg,FP,None
"470,361,76,18",PKM2,PMC6643126__ijmsv16p0960g005.jpg,TP,PKM2
"491,532,32,11",EMT,PMC6643126__ijmsv16p0960g005.jpg,TP,EMT
"256,110,25,19", CI,PMC6675870__fphar-10-00784-g006.jpg,FP,None
"438,395,73,22", MCL-1,PMC6675870__fphar-10-00784-g006.jpg,TP,MCL
"637,400,54,22",BAX,PMC6675870__fphar-10-00784-g006.jpg,TP,BAX
"445,474,72,23",BCL-2,PMC6675870__fphar-10-00784-g006.jpg,TP,BCL
"636,475,55,22", BAK,PMC6675870__fphar-10-00784-g006.jpg,TP,BAK
"42,988,57,24",CELL,PMC6675870__fphar-10-00784-g006.jpg,FP,None
"84,124,32,11",OPG,PMC6681686__medscimonit-25-5572-g005.jpg,TP,OPG
"231,212,51,11",CXCR4,PMC6681686__medscimonit-25-5572-g005.jpg,TP,CXCR4
"160,289,14,8",GA,PMC6681686__medscimonit-25-5572-g005.jpg,FP,None
"550,355,26,10",CELL,PMC6681686__medscimonit-25-5572-g005.jpg,FP,None
"356,384,29,10", AKT,PMC6681686__medscimonit-25-5572-g005.jpg,TP,AKT
"139,424,32,10",PI3K,PMC6681686__medscimonit-25-5572-g005.jpg,TP,PI3K
"434,113,93,31",SMO,PMC6820189__10.1177_1559325819885293-fig2.jpg,TP,SMO
"117,423,46,31",GLI,PMC6820189__10.1177_1559325819885293-fig2.jpg,TP,GLI
