gene_name,coordinates,fig_name
IL-6,"723,330,37,16",PMC4536527__srep13092-f8.jpg
VEGF,"513,467,64,17",PMC4536527__srep13092-f8.jpg
CDC25C,"355,357,56,12",PMC4826221__oncotarget-07-4490-g009.jpg
CDK1,"550,386,42,11",PMC4826221__oncotarget-07-4490-g009.jpg
C-JUN,"383,259,48,15",PMC5037850__ijms-17-01585-g001.jpg
CYTOCHROME C,"346,466,118,23",PMC5037850__ijms-17-01585-g001.jpg
WIP,"46,141,37,14",PMC5148706__nihms828371f2.jpg
N-WASP,"255,140,79,14",PMC5148706__nihms828371f2.jpg
CDC42,"496,141,59,17",PMC5148706__nihms828371f2.jpg
ACTIN,"271,385,48,14",PMC5148706__nihms828371f2.jpg
ACE2,"343,326,38,11",PMC5238375__srep40523-f2.jpg
ACE,"257,344,30,11",PMC5238375__srep40523-f2.jpg
ANG(1-7,"334,419,59,14",PMC5238375__srep40523-f2.jpg
ANG,"260,452,25,14",PMC5238375__srep40523-f2.jpg
SYX,"336,0,77,45",PMC5241026__nihms839270f8.jpg
RHOA,"348,190,136,45",PMC5241026__nihms839270f8.jpg
RAB3D,"12,392,135,35",PMC5241026__nihms839270f8.jpg
SIRT1,"312,392,123,36",PMC5241026__nihms839270f8.jpg
RHPN2,"580,564,174,33",PMC5241026__nihms839270f8.jpg
NOGGIN,"290,750,221,44",PMC5241026__nihms839270f8.jpg
SMAD1,"585,882,168,49",PMC5241026__nihms839270f8.jpg
AMPK,"322,356,66,17",PMC5404978__nihms860625f10.jpg
MTORC1,"629,426,91,17",PMC5404978__nihms860625f10.jpg
PIK3C3,"148,545,74,17",PMC5404978__nihms860625f10.jpg
ATG14,"50,565,68,16",PMC5404978__nihms860625f10.jpg
BECN1,"214,596,70,17",PMC5404978__nihms860625f10.jpg
AMBRA1,"87,608,98,17",PMC5404978__nihms860625f10.jpg
S14,"290,626,32,14",PMC5404978__nihms860625f10.jpg
SQSTM1,"103,878,91,19",PMC5404978__nihms860625f10.jpg
LC3B,"291,878,51,16",PMC5404978__nihms860625f10.jpg
ATG7,"438,876,55,16",PMC5404978__nihms860625f10.jpg
LIPO-PGE1,"5,5,148,26",PMC5482458__pone.0179614.g005.jpg
ETS-1,"371,385,67,22",PMC5482458__pone.0179614.g005.jpg
NREP,"561,14,39,10",PMC5541090__41598_2017_6522_Fig1_HTML.jpg
SMAD3,"331,175,49,11",PMC5541090__41598_2017_6522_Fig1_HTML.jpg
HIPK2,"118,345,40,10",PMC5541090__41598_2017_6522_Fig1_HTML.jpg
PRDM16,"420,384,58,10",PMC5541090__41598_2017_6522_Fig1_HTML.jpg
LCN2,"562,620,50,14",PMC5642883__BMRI2017-9592501.008.jpg
CTGF,"422,110,38,12",PMC5788631__oncotarget-09-2175-g012.jpg
YAP,"291,135,27,12",PMC5788631__oncotarget-09-2175-g012.jpg
YAP,"81,148,27,14",PMC5788631__oncotarget-09-2175-g012.jpg
CTGF,"423,237,50,6",PMC5788631__oncotarget-09-2175-g012.jpg
YAP,"225,268,27,11",PMC5788631__oncotarget-09-2175-g012.jpg
CTGF,"388,314,37,12",PMC5788631__oncotarget-09-2175-g012.jpg
YWHAZ,"9,11,29,6",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
FGFR3,"162,11,25,6",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
LAMA2,"389,38,28,6",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
GRB2,"466,38,21,6",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
FGFR4,"665,38,25,6",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
CDH1,"10,91,22,6",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
HRAS,"87,91,20,6",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
TSC2,"377,115,21,7",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
FGFR2,"590,134,25,7",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
PTEN,"358,193,20,6",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
KDR,"130,203,16,6",PMC5850946__12859_2018_2036_Fig5_HTML.jpg
FIBRONECTIN,"577,84,79,12",PMC5908975__fnmol-11-00130-g0007.jpg
FAK,"276,253,26,13",PMC5908975__fnmol-11-00130-g0007.jpg
PAXILLIN,"303,281,55,16",PMC5908975__fnmol-11-00130-g0007.jpg
AKT,"244,409,30,11",PMC5908975__fnmol-11-00130-g0007.jpg
ERK,"52,486,26,14",PMC5908975__fnmol-11-00130-g0007.jpg
SOX-2,"427,507,38,12",PMC5908975__fnmol-11-00130-g0007.jpg
P53,"205,537,26,14",PMC5908975__fnmol-11-00130-g0007.jpg
PTCH,"55,12,27,11",PMC5949124__IBJ-22-217-g001.jpg
SMO,"198,13,32,10",PMC5949124__IBJ-22-217-g001.jpg
PTCH,"463,14,27,11",PMC5949124__IBJ-22-217-g001.jpg
SMO,"606,15,32,10",PMC5949124__IBJ-22-217-g001.jpg
GLI,"131,158,20,10",PMC5949124__IBJ-22-217-g001.jpg
GLI,"537,157,20,13",PMC5949124__IBJ-22-217-g001.jpg
CDCP1,"519,119,50,12",PMC5967041__12885_2018_4500_Fig4_HTML.jpg
PDGFR,"268,152,64,15",PMC5967041__12885_2018_4500_Fig4_HTML.jpg
FSH,"231,16,24,10",PMC6241696__ott-11-8107Fig4.jpg
FSHR,"226,36,34,10",PMC6241696__ott-11-8107Fig4.jpg
CASP3,"471,376,42,9",PMC6241696__ott-11-8107Fig4.jpg
IL6,"406,11,13,8",PMC6307990__gr7.jpg
IL6,"455,9,13,6",PMC6307990__gr7.jpg
IL6,"638,22,14,6",PMC6307990__gr7.jpg
IDO1,"451,233,22,12",PMC6307990__gr7.jpg
PD-L1,"93,374,26,6",PMC6307990__gr7.jpg
IDO1,"339,379,26,7",PMC6307990__gr7.jpg
IL6,"418,379,19,13",PMC6307990__gr7.jpg
STIM1,"74,212,50,14",PMC6322368__medscimonit-24-9413-g008.jpg
PKC,"520,187,53,12",PMC6322368__medscimonit-24-9413-g008.jpg
NOS1,"509,49,63,21",PMC6451008__41419_2019_1542_Fig1_HTML.jpg
PTEN,"515,144,58,22",PMC6451008__41419_2019_1542_Fig1_HTML.jpg
AKT,"260,252,48,16",PMC6451008__41419_2019_1542_Fig1_HTML.jpg
MTOR,"246,369,71,17",PMC6451008__41419_2019_1542_Fig1_HTML.jpg
HIF-1,"459,38,91,20",PMC6643126__ijmsv16p0960g005.jpg
P70S6K,"448,208,95,25",PMC6643126__ijmsv16p0960g005.jpg
PKM2,"470,361,76,18",PMC6643126__ijmsv16p0960g005.jpg
MCL-1,"438,395,73,22",PMC6675870__fphar-10-00784-g006.jpg
BAX,"637,400,54,22",PMC6675870__fphar-10-00784-g006.jpg
BCL-2,"445,474,72,23",PMC6675870__fphar-10-00784-g006.jpg
BAK,"636,475,55,22",PMC6675870__fphar-10-00784-g006.jpg
CYTOCHROME C,"256,753,171,35",PMC6675870__fphar-10-00784-g006.jpg
OPG,"84,124,32,11",PMC6681686__medscimonit-25-5572-g005.jpg
CXCR4,"231,212,51,11",PMC6681686__medscimonit-25-5572-g005.jpg
AKT,"356,384,29,10",PMC6681686__medscimonit-25-5572-g005.jpg
HEDGEHOG,"221,3,191,39",PMC6820189__10.1177_1559325819885293-fig2.jpg
SMO,"434,113,93,31",PMC6820189__10.1177_1559325819885293-fig2.jpg
GLI,"117,423,46,31",PMC6820189__10.1177_1559325819885293-fig2.jpg
